"internal_taxon_id","BasisOfRec","DEC_LONG","DEC_LAT","BINOMIAL","EVENT_YEAR","CATALOG_NO","SPATIALREF","PRESENCE","ORIGIN","SEASONAL","YEAR","DATA_SENS","SOURCE","COMPILER","CITATION"
"314550-1","PreservedSpecimen",31.125,-29.625,"Scleria achtenii",1990,"PRE0804641-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",31.875,-28.875,"Scleria achtenii",1976,"NH0064434-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",30.875,-29.875,"Scleria achtenii",1964,"NH0071433-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",31.125,-29.625,"Scleria achtenii",1990,"NH0117475-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",31.875,-28.875,"Scleria achtenii",1966,"NH0066213-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",30.875,-29.875,"Scleria achtenii",1995,"PRE0582879-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",30.616667,-30.266667,"Scleria achtenii",1986,"NH0115657-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",31.875,-28.875,"Scleria achtenii",1966,"NH0066213-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32.266667,-28.616667,"Scleria achtenii",1992,"NH0128083-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",30.883333,-29.766667,"Scleria achtenii",1995,"NH0130136-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",31.875,-28.875,"Scleria achtenii",1976,"PRE0513219-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",32.625,-27.625,"Scleria achtenii",1986,"NH0087519-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32.625,-27.625,"Scleria achtenii",1986,"NH0087519-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",32.625,-27.375,"Scleria achtenii",1979,"NH0071228-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32,-28.766667,"Scleria achtenii",1984,"NH0115358-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",30.875,-29.875,"Scleria achtenii",1972,"PRE0476999-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/1881d048-04f9-4bc2-b7c8-931d1659a354","",""
"314550-1","PreservedSpecimen",30.875,-29.875,"Scleria achtenii",1995,"NH0130136-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32.697222,-27.408333,"Scleria achtenii",1979,"NH0071228-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",32.875,-26.875,"Scleria achtenii",1984,"NH0082147-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32.875,-26.875,"Scleria achtenii",1969,"NH0066230-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",32.875,-26.875,"Scleria achtenii",1969,"NH0066212-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/d0963cee-1a29-47a2-b9bf-fb0e7690077c","",""
"314550-1","PreservedSpecimen",32.875,-26.875,"Scleria achtenii",1969,"NH0066230-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",32.875,-26.875,"Scleria achtenii",1969,"NH0066212-0","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/0a4f3e3b-1910-445a-afa7-9b93abe69ee1","",""
"314550-1","PreservedSpecimen",-10.666667,6.266667,"Scleria achtenii",1926,"WAG.1776505","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-10.8,6.316667,"Scleria achtenii",NA,"WAG.1776503","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-8.6,7.4,"Scleria achtenii",1964,"WAG.1776499","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-10.8,6.316667,"Scleria achtenii",1961,"WAG.1776506","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",-10.8,6.316667,"Scleria achtenii",NA,"WAG.1776504","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",6.327924,6.713975,"Scleria achtenii",1971,"32127","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/6297efc0-4442-4e8e-be58-1e0ca7729dac","",""
"314550-1","PreservedSpecimen",-13.223068,8.645865,"Scleria achtenii",1964,"4348","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/6297efc0-4442-4e8e-be58-1e0ca7729dac","",""
"314550-1","PreservedSpecimen",32.66666,0.41666,"Scleria achtenii",1995,"1186298","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/7bd65a7a-f762-11e1-a439-00145eb45e9a","",""
"314550-1","PreservedSpecimen",32.666667,-0.416667,"Scleria achtenii",1995,"WAG.1776507","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/15f819bd-6612-4447-854b-14d12ee1022d","",""
"314550-1","PreservedSpecimen",32.6667,0.4167,"Scleria achtenii",1995,"3360645","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/821cc27a-e3bb-4bc5-ac34-89ada245069d","",""
"314550-1","PreservedSpecimen",17.366667,-3.266667,"Scleria achtenii",1913,"BR0000008638915","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37","",""
"314550-1","PreservedSpecimen",15.266667,-5.016667,"Scleria achtenii",1909,"BR0000008638755","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37","",""
"314550-1","PreservedSpecimen",15.316388,-4.301666,"Scleria achtenii",1915,"BR0000008637789","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37","",""
"314550-1","PreservedSpecimen",17.366667,-3.266667,"Scleria achtenii",1913,"BR0000008638373","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37","",""
"314550-1","PreservedSpecimen",19.25,-5.75,"Scleria achtenii",1913,"BR0000008638397","WGS84","1","1","1","2019","No","https://www.gbif.org/dataset/b740eaa0-0679-41dc-acb7-990d562dfa37","",""
